entity_en,nid,link,title,date
New South Wales,1602,https://7news.com.au/news/health/five-people-being-tested-for-coronavirus-in-new-south-wales-c-664517,Five people being tested for coronavirus in New South Wales,2020-01-24 00:00:00
US,1603,https://www.usatoday.com/story/news/health/2020/01/22/washington-officials-track-infected-mans-travels-counter-new-virus/4547358002/,A suburban Seattle man remains the only known US resident ...,2020-01-22 00:00:00
Seattle,1603,https://www.usatoday.com/story/news/health/2020/01/22/washington-officials-track-infected-mans-travels-counter-new-virus/4547358002/,A suburban Seattle man remains the only known US resident ...,2020-01-22 00:00:00
Texas,1604,http://cbsaustin.com/news/local/texas-health-officials-investigating-possible-3rd-case-of-coronavirus,Texas health officials investigating possible 3rd case of ...,2020-01-24 00:00:00
Hong Kong,1605,https://www.scmp.com/news/hong-kong/health-environment/article/3047255/china-coronavirus-guests-check-out-hotel-where,China coronavirus: guests check out of Hong Kong hotel ...,2020-01-22 00:00:00
China,1605,https://www.scmp.com/news/hong-kong/health-environment/article/3047255/china-coronavirus-guests-check-out-hotel-where,China coronavirus: guests check out of Hong Kong hotel ...,2020-01-22 00:00:00
United Airlines,1606,https://nypost.com/2020/01/22/united-airlines-passengers-checked-for-coronavirus-like-symptoms/,United Airlines passengers checked for coronavirus-like ...,2020-01-22 00:00:00
Lakewood Hospital,1609,https://www.cpr.org/2020/01/25/possible-colorado-coronavirus-case-has-lakewood-hospital-officials-taking-precautions/,Possible Colorado Coronavirus Case Has Lakewood Hospital ...,2020-01-25 22:01:07
Coronavirus,1612,https://www.ft.com/content/bd6cad34-3eab-11ea-b232-000f4477fbca,Coronavirus is the latest round in an age-old struggle,2020-01-24 00:00:00
Coronavirus,1613,https://www.cnet.com/how-to/coronavirus-death-toll-rises-to-56-cases-approach-2000-everything-we-know/,"Coronavirus death toll rises to 56, cases approach 2000 ...",2020-01-21 00:00:00
Coronavirus,1614,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-do-control-disease-outbreak-do-face-masks-work/,Coronavirus: do airport screenings and face masks work?,2020-01-23 00:00:00
Finnair,1615,https://qz.com/1791190/finnair-defends-then-nixes-face-mask-ban-amid-coronavirus-fears/,Finnair defends then nixes a face mask ban amid coronavirus ...,2020-01-25 19:01:07
China,1616,https://www.bloomberg.com/news/articles/2020-01-24/coronavirus-deaths-surge-in-china-while-europe-finds-first-cases,Canada Is Latest to Confirm Virus as China Death Toll Mounts,2020-01-25 15:01:07
Canada,1616,https://www.bloomberg.com/news/articles/2020-01-24/coronavirus-deaths-surge-in-china-while-europe-finds-first-cases,Canada Is Latest to Confirm Virus as China Death Toll Mounts,2020-01-25 15:01:07
Coronavirus,1617,https://www.valleynewslive.com/content/news/Two-possible-cases-of-Coronavirus-not-far-from-the-Valley---567284131.html,Two possible cases of Coronavirus not far from the Valley,2020-01-24 00:00:00
Coronavirus,1618,https://www.cnet.com/how-to/coronavirus-cases-pass-1300-as-virus-hits-europe-and-australia-everything-we-know/,Coronavirus cases pass 1300 as virus hits Europe and ...,2020-01-21 00:00:00
The Wuhan Coronavirus,1619,https://www.theguardian.com/science/audio/2020/jan/24/the-wuhan-outbreak-science-weekly-podcast,The Wuhan Coronavirus: what we know and don't know ...,2020-01-24 00:00:00
US,1621,https://www.nbcnews.com/health/health-news/new-coronavirus-u-s-what-isolation-n1122256,New coronavirus in the US: What is isolation?,2020-01-24 00:00:00
UK,1623,https://www.dailymail.co.uk/health/article-7926343/First-British-patient-tested-coronavirus-reveals-treated-doctors-spaceman-suits.html,Now killer virus reaches Europe: Hunt is on in UK for 2000 ...,2020-01-24 00:00:00
Hunt,1623,https://www.dailymail.co.uk/health/article-7926343/First-British-patient-tested-coronavirus-reveals-treated-doctors-spaceman-suits.html,Now killer virus reaches Europe: Hunt is on in UK for 2000 ...,2020-01-24 00:00:00
Apple,1624,https://appleinsider.com/articles/20/01/25/tim-cook-announces-apple-will-donate-to-coronavirus-relief-efforts,Tim Cook announces Apple will donate to coronavirus relief ...,2020-01-25 18:01:07
Tim Cook,1624,https://appleinsider.com/articles/20/01/25/tim-cook-announces-apple-will-donate-to-coronavirus-relief-efforts,Tim Cook announces Apple will donate to coronavirus relief ...,2020-01-25 18:01:07
Xi Focus,1625,http://www.xinhuanet.com/english/2020-01/25/c_138733715.htm,Xi Focus: CPC leadership meets to discuss novel coronavirus ...,2020-01-25 15:01:07
CPC,1625,http://www.xinhuanet.com/english/2020-01/25/c_138733715.htm,Xi Focus: CPC leadership meets to discuss novel coronavirus ...,2020-01-25 15:01:07
Coronavirus,1627,https://www.wfmz.com/news/area/southeastern-pa/montgomery-county-pharmaceutical-developing-coronavirus-vaccine/article_e7876b2a-3fe3-11ea-aa62-634daeb5616d.html,Montgomery County pharmaceutical developing Coronavirus ...,2020-01-26 04:01:07
Montgomery County,1627,https://www.wfmz.com/news/area/southeastern-pa/montgomery-county-pharmaceutical-developing-coronavirus-vaccine/article_e7876b2a-3fe3-11ea-aa62-634daeb5616d.html,Montgomery County pharmaceutical developing Coronavirus ...,2020-01-26 04:01:07
Coronavirus,1630,https://www.bbc.com/mundo/noticias-51206116,Coronavirus: cuáles son los síntomas y otras 3 preguntas ...,2020-01-22 00:00:00
los sntomas,1630,https://www.bbc.com/mundo/noticias-51206116,Coronavirus: cuáles son los síntomas y otras 3 preguntas ...,2020-01-22 00:00:00
Virus-Alarm - Experten,1632,https://www.merkur.de/welt/coronavirus-china-lungenkrankheit-usa-uebertragung-ansteckung-deutschland-zr-13452828.html,Virus-Alarm - Experten warnen jetzt auch Deutschland ...,2020-01-23 00:00:00
Deutschland,1632,https://www.merkur.de/welt/coronavirus-china-lungenkrankheit-usa-uebertragung-ansteckung-deutschland-zr-13452828.html,Virus-Alarm - Experten warnen jetzt auch Deutschland ...,2020-01-23 00:00:00
The Coronavirus Panic Sent This Biotech Stock Soaring,1633,https://www.ccn.com/the-coronavirus-panic-sent-this-biotech-stock-soaring-150/,The Coronavirus Panic Sent This Biotech Stock Soaring 150%,2020-01-22 00:00:00
China,1635,http://www.xinhuanet.com/english/2020-01/23/c_138728428.htm,China Focus: Study reveals how novel coronavirus infects ...,2020-01-22 00:00:00
US,1636,https://www.cnet.com/how-to/coronavirus-how-to-track-its-spread-across-asia-the-us-and-europe/,"Coronavirus: How to track its spread across Asia, the US and ...",2020-01-24 00:00:00
Coronavirus,1637,https://www.airport-technology.com/features/coronavirus-measures-world-airports/,Coronavirus safety measures at major international airports,2020-01-23 00:00:00
Wuhan,1639,https://www.businessinsider.com/wuhan-coronavirus-sars-bats-animals-to-humans-2020-1,Experts think the Wuhan coronavirus jumped from bats to ...,2020-01-23 00:00:00
US,1640,https://factcheck.afp.com/coronavirus-plaguing-china-was-not-created-us-government-agency,The coronavirus plaguing China was not created by a US ...,2020-01-24 00:00:00
China,1640,https://factcheck.afp.com/coronavirus-plaguing-china-was-not-created-us-government-agency,The coronavirus plaguing China was not created by a US ...,2020-01-24 00:00:00
Photos,1642,https://www.nytimes.com/2020/01/25/world/asia/china-coronavirus-photos.html,"China's Battle With a Deadly Coronavirus, in Photos",2020-01-25 16:01:08
China,1642,https://www.nytimes.com/2020/01/25/world/asia/china-coronavirus-photos.html,"China's Battle With a Deadly Coronavirus, in Photos",2020-01-25 16:01:08
Wuhan,1645,https://www.scmp.com/week-asia/health-environment/article/3047050/asian-health-officials-fear-wuhan-coronavirus-outbreak,Asian health officials fear Wuhan coronavirus outbreak is ...,2020-01-21 00:00:00
The Potential Threat Of,1646,https://www.npr.org/2020/01/21/798252815/judging-the-potential-threat-of-the-wuhan-coronavirus,Judging The Potential Threat Of The Wuhan Coronavirus,2020-01-21 00:00:00
Coronavirus,1647,https://www.scmp.com/week-asia/opinion/article/3047606/coronavirus-response-highlights-flaws-way-chinas-bureaucracy,Coronavirus response highlights flaws in the way China's ...,2020-01-24 00:00:00
China,1647,https://www.scmp.com/week-asia/opinion/article/3047606/coronavirus-response-highlights-flaws-way-chinas-bureaucracy,Coronavirus response highlights flaws in the way China's ...,2020-01-24 00:00:00
Coronavirus,1648,https://www.nytimes.com/2020/01/24/world/asia/coronavirus-japan-china-tourism.html,Coronavirus Outbreak Sours Japan on Chinese Tourist Boom,2020-01-24 00:00:00
Japan,1648,https://www.nytimes.com/2020/01/24/world/asia/coronavirus-japan-china-tourism.html,Coronavirus Outbreak Sours Japan on Chinese Tourist Boom,2020-01-24 00:00:00
Coronavirus Outbreak,1649,https://www.npr.org/2020/01/25/799584773/coronavirus-outbreak-in-china-accelerates,Coronavirus Outbreak In China Accelerates,2020-01-26 00:01:08
China,1649,https://www.npr.org/2020/01/25/799584773/coronavirus-outbreak-in-china-accelerates,Coronavirus Outbreak In China Accelerates,2020-01-26 00:01:08
Japan,1650,https://www.japantimes.co.jp/news/2020/01/25/national/japan-second-case-coronavirus/,Japan braces for Chinese New Year tourist influx as concerns ...,2020-01-24 00:00:00
China,1651,https://www.bbc.com/news/world-51235105,China coronavirus: A visual guide,2020-01-24 00:00:00
Coronavirus,1652,https://www.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html,Coronavirus explained: What you need to know,2020-01-20 00:00:00
Coronavirus,1653,https://www.nytimes.com/article/what-is-coronavirus.html,"What Is the Coronavirus? Symptoms, Treatment and Risks",2020-01-23 00:00:00
Belfast,1654,https://www.bbc.com/news/uk-northern-ireland-51227183,Coronavirus: Man is treated for symptoms in Belfast,2020-01-23 00:00:00
Wuhan,1655,https://www.businessinsider.com/how-to-protect-yourself-from-coronavirus-wuhan-2020-1,The Wuhan coronavirus has spread to 10 countries. Here's ...,2020-01-23 00:00:00
Texas,1656,https://www.nytimes.com/2020/01/23/us/united-states-coronavirus-cases.html,"Texas Student May Have Wuhan Coronavirus, as Dozens in ...",2020-01-23 00:00:00
Wuhan Coronavirus,1656,https://www.nytimes.com/2020/01/23/us/united-states-coronavirus-cases.html,"Texas Student May Have Wuhan Coronavirus, as Dozens in ...",2020-01-23 00:00:00
